"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",997.444732611474,4.57496679448034,0.184241415523221,24.8313701970213,4.11066699528297e-136,7.41235472589426e-132
"ENSG00000165995",495.095686525811,3.29109887177971,0.133052739469837,24.7352958300104,4.46338432304642e-135,4.02418730565865e-131
"ENSG00000120129",3409.03835490143,2.94784977790575,0.121876435972847,24.1872003753252,3.03383945677897e-129,1.82353976948795e-125
"ENSG00000101347",12703.4128252398,3.76702165770118,0.155991949345874,24.1488209711946,7.68265697144611e-129,3.4633417627279e-125
"ENSG00000189221",2341.78067569054,3.35365484627155,0.142180986005845,23.5872245683658,5.21270561141686e-123,1.87991015170138e-119
"ENSG00000211445",12285.7000547124,3.73043925959329,0.166398396759963,22.418721166975,2.5850590622169e-111,7.76896416831587e-108
"ENSG00000157214",3009.27287526155,1.97679565168812,0.090425123686451,21.8611329583872,6.0913484026139e-106,1.56913134851334e-102
"ENSG00000162614",5393.11454093552,2.03569683138979,0.0946846972625439,21.4997448399203,1.56546228391753e-102,3.52855198795011e-99
"ENSG00000125148",3656.26740037453,2.21100567872802,0.106090564174889,20.8407382496637,1.84964416889038e-96,3.70586485038125e-93
"ENSG00000154734",30315.1131700161,2.34563484246278,0.116359625483574,20.1584942604848,2.26675650454334e-90,4.08741532899256e-87
"ENSG00000139132",1223.46315207371,2.22892888511731,0.113079591198364,19.7111508937747,1.7298762995667e-86,2.83573903943516e-83
"ENSG00000162493",1099.63807723644,1.89125078554921,0.0959942651231077,19.7017059625778,2.0847576386623e-86,3.13269581169655e-83
"ENSG00000134243",5510.95647651194,2.1957252299999,0.11248818967579,19.5196067811951,7.48117677891182e-85,1.03769676674875e-81
"ENSG00000179094",776.600164098613,3.1917884227587,0.164048734574317,19.4563428425153,2.57518271234718e-84,3.31683533350317e-81
"ENSG00000162692",508.164810682556,-3.69257883206558,0.19006498321919,-19.427980733343,4.47628015466545e-84,5.38108558326183e-81
"ENSG00000163884",561.111048261822,4.45916919420369,0.234793424835009,18.9918827468749,1.99061929589038e-80,2.24342794646845e-77
"ENSG00000178695",2649.82251474546,-2.52817101093769,0.134837261857,-18.749794946288,1.94338882070803e-78,2.06136395382395e-75
"ENSG00000198624",2057.20440873193,2.91847590239042,0.161676129169376,18.0513716983721,7.69555571018053e-73,7.70923669810974e-70
"ENSG00000148848",1365.16397466345,-1.81451079211134,0.100752189792527,-18.0096412380499,1.63685977779768e-72,1.55346607964462e-69
"ENSG00000107562",25136.0890181904,-1.91163716818413,0.106290137167173,-17.9850851559021,2.54996719649524e-72,2.29905042436011e-69
"ENSG00000146250",313.686159348886,-2.75618360289429,0.154504174057733,-17.8388941250506,3.52605331395598e-71,3.02770444558353e-68
"ENSG00000106976",884.737400832367,-1.7562228381292,0.0998483763555872,-17.5888973084031,2.99651894660187e-69,2.45605589296023e-66
"ENSG00000154930",670.046865009161,1.89855975811499,0.108700867684398,17.4659117131178,2.60506149610479e-68,2.04236821294616e-65
